Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Ada, k-nucleotide,-1,147.3939819,96.29211426,0,16.42169189,5475,30.5,259060
Ada, k-nucleotide,-1,148.2054443,96.1574707,0,16.45501709,5568,30,259364
Ada, k-nucleotide,-1,146.0974121,95.58441162,0,16.20037842,5421,30,259220
Ada, k-nucleotide,-1,145.9299927,95.84680176,0,16.1494751,5373,31.2,259064
Ada, k-nucleotide,-1,143.649353,93.99755859,0.000854492,15.76477051,5340,30.5,259024
Ada, k-nucleotide,-1,146.2289429,94.95562744,0,16.18829346,5499,31,259028
Ada, k-nucleotide,-1,146.722168,95.25396729,0,16.31213379,5512,31,259160
Ada, k-nucleotide,-1,149.8509521,96.82891846,0,16.78460693,5672,31.2,259292
Ada, k-nucleotide,-1,147.6626587,95.98101807,0,16.55456543,5540,30.8,259016
Ada, k-nucleotide,-1,152.4069214,99.17321777,0,17.53167725,5709,30.8,258988
Ada, k-nucleotide,-1,144.0402222,93.73187256,0,15.87329102,5407,30.8,259300
Ada, k-nucleotide,-1,153.847168,99.60198975,0.000854492,17.84613037,5810,31.5,258956
Ada, k-nucleotide,-1,145.6311035,94.87554932,0,16.07263184,5441,31,258956
Ada, k-nucleotide,-1,144.3579102,93.91900635,0,15.93145752,5419,31.2,259144
Ada, k-nucleotide,-1,145.3780518,94.57739258,0,16.09014893,5451,31,258956
Ada, k-nucleotide,-1,145.2891846,94.50830078,0,16.09777832,5461,31.2,258824
Ada, k-nucleotide,-1,147.6386108,95.9119873,0,16.58648682,5552,30.5,259272
Ada, mandelbrot,-1,124.0089722,94.07800293,0.000793457,8.766845703,3624,32.2,36612
Ada, mandelbrot,-1,124.3047485,94.51898193,0,8.726196289,3606,33,36920
Ada, mandelbrot,-1,124.043457,94.1484375,0,8.752685547,3617,32.8,36568
Ada, mandelbrot,-1,124.0618286,94.28082275,0,8.720947266,3604,33,36604
Ada, mandelbrot,-1,124.1494751,94.26446533,0.000793457,8.750183105,3617,32.8,36724
Ada, mandelbrot,-1,123.9508667,94.18206787,0,8.72076416,3605,33,36600
Ada, mandelbrot,-1,124.0899048,94.20373535,0,8.761169434,3622,32.5,36392
Ada, mandelbrot,-1,124.142334,94.14422607,0,8.778381348,3629,32.2,36972
Ada, mandelbrot,-1,124.3452148,94.46661377,0,8.741882324,3615,32.8,36916
Ada, mandelbrot,-1,124.6699219,94.64312744,0,8.758911133,3621,32.8,36660
Ada, mandelbrot,-1,124.7026367,94.6673584,0,8.754150391,3618,32.2,36584
Ada, mandelbrot,-1,124.4584351,94.54986572,0,8.723266602,3606,32.5,36600
Ada, mandelbrot,-1,124.6419067,94.79742432,0,8.722045898,3606,32.5,36676
Ada, mandelbrot,-1,124.4432983,94.42120361,0,8.773254395,3627,32.2,36600
Ada, mandelbrot,-1,124.6911011,94.60778809,0,8.770935059,3626,32.8,36948
Ada, mandelbrot,-1,124.6459961,94.78613281,0,8.727172852,3608,33,36916
Ada, mandelbrot,-1,124.6083984,94.69049072,0,8.74432373,3614,32.5,36908
Ada, mandelbrot,-1,124.5552979,94.42987061,0,8.811645508,3644,32.5,36920
Ada, mandelbrot,-1,124.2987061,94.47033691,0,8.717285156,3605,33.2,36620
Ada, mandelbrot,-1,125.090271,94.80493164,0,8.821472168,3645,32.5,36456
Ada, n-body,-1,92.98937988,63.10046387,0,12.48095703,5165,30,4272
Ada, n-body,-1,94.18786621,63.86669922,0,12.64068604,5232,30.5,4176
Ada, n-body,-1,92.98968506,63.10321045,0,12.48083496,5165,30.5,4124
Ada, n-body,-1,92.98931885,63.11297607,0,12.48327637,5166,30.2,4164
Ada, n-body,-1,92.98724365,63.11169434,0.000488281,12.47827148,5165,30.5,4060
Ada, n-body,-1,93.00567627,63.11877441,0,12.47833252,5165,29.8,4272
Ada, n-body,-1,92.98510742,63.10009766,0,12.47821045,5165,29.8,4104
Ada, n-body,-1,92.98724365,63.11035156,0,12.47839355,5165,29.5,4188
Ada, n-body,-1,93.01379395,63.11706543,0,12.48144531,5165,30,4272
Ada, n-body,-1,92.99072266,63.10888672,0,12.4833374,5166,30.5,4112
Ada, n-body,-1,92.75640869,62.97009277,0.000488281,12.44696045,5152,29.8,4112
Ada, n-body,-1,93.00097656,63.11114502,0,12.47833252,5165,30.5,4112
Ada, n-body,-1,95.70904541,64.87524414,0,12.84161377,5315,30.5,4292
Ada, n-body,-1,93.00415039,63.11566162,0,12.480896,5165,30,4280
Ada, n-body,-1,97.53839111,66.10638428,0,13.09094238,5418,31.2,4152
Ada, n-body,-1,92.98248291,63.09429932,0,12.48077393,5165,30.5,4268
Ada, n-body,-1,95.12115479,64.53027344,0,12.76879883,5285,30.2,4288
Ada, n-body,-1,92.97113037,63.08374023,0,12.47827148,5165,30.2,4088
Ada, n-body,-1,92.9788208,63.08483887,0,12.480896,5165,30.8,4192
Ada, n-body,-1,93.65661621,63.53143311,0,12.56781006,5201,31,4236
Ada, regex-redux,-1,128.923584,94.69854736,0,9.226074219,3678,31,154700
Ada, regex-redux,-1,129.6315918,95.05432129,0,9.305480957,3706,31.8,154760
Ada, regex-redux,-1,129.6513062,94.96594238,0,9.332763672,3719,32.5,154528
Ada, regex-redux,-1,130.3791504,95.453125,0,9.367980957,3732,32,155004
Ada, regex-redux,-1,129.3638916,94.75524902,0,9.322692871,3715,32.2,154700
Ada, regex-redux,-1,129.5169067,95.08935547,0,9.260559082,3691,30.8,154724
Ada, regex-redux,-1,129.8734741,95.15966797,0,9.327209473,3714,32,155004
Ada, regex-redux,-1,129.6550903,95.2522583,0.000915527,9.215454102,3670,31.2,155000
Ada, regex-redux,-1,129.9400024,94.98944092,0,9.402770996,3744,31.8,154956
Ada, regex-redux,-1,130.0621338,95.1817627,0,9.357421875,3728,31.2,154756
Ada, regex-redux,-1,129.6359863,95.04827881,0,9.265441895,3702,32,154944
Ada, regex-redux,-1,129.7764893,94.85028076,0,9.401123047,3745,31.5,154744
Ada, regex-redux,-1,130.5510864,95.55718994,0,9.356933594,3731,31,155000
Ada, regex-redux,-1,130.128418,95.41601563,0,9.296081543,3705,32,154704
Ada, regex-redux,-1,129.7605591,95.08154297,0,9.313049316,3714,31.8,154648
Ada, regex-redux,-1,129.4452515,94.92431641,0.000915527,9.294189453,3701,31.5,154728
Ada, regex-redux,-1,129.9942627,95.15911865,0,9.342285156,3721,31.8,154524
Ada, regex-redux,-1,130.3612671,95.55322266,0,9.295288086,3706,31.5,154756
Ada, regex-redux,-1,130.0489502,95.05755615,0,9.381286621,3743,31.5,154980
Ada, regex-redux,-1,130.2770386,95.55773926,0.000854492,9.288024902,3698,31.5,154724
Ada, reverse-complement,-1,7.432495117,4.248168945,0,0.971008301,344,27.5,199768
Ada, reverse-complement,-1,7.308410645,4.191894531,0,0.952392578,335,27.5,199968
Ada, reverse-complement,-1,7.309326172,4.186462402,0,0.952514648,336,29.8,199640
Ada, reverse-complement,-1,7.279418945,4.173950195,0,0.952819824,336,27.8,199808
Ada, reverse-complement,-1,7.304016113,4.185668945,0,0.952575684,336,27.8,199844
Ada, reverse-complement,-1,7.301513672,4.18359375,0,0.949584961,335,29.5,199804
Ada, reverse-complement,-1,7.286621094,4.161254883,0,0.953979492,337,27.2,200076
Ada, reverse-complement,-1,7.256469727,4.161621094,0,0.946289063,335,27.2,199776
Ada, reverse-complement,-1,7.30090332,4.181396484,0,0.954223633,336,30.5,200092
Ada, reverse-complement,-1,7.272644043,4.157897949,0,0.95098877,337,27.8,199784
Ada, reverse-complement,-1,7.288513184,4.186889648,0,0.94934082,335,27.8,199636
Ada, reverse-complement,-1,7.295532227,4.178649902,0,0.951904297,335,30.2,199780
Ada, reverse-complement,-1,7.266784668,4.161376953,0,0.948486328,335,27.8,200068
Ada, reverse-complement,-1,7.27166748,4.167541504,0,0.949707031,336,27.8,199988
Ada, reverse-complement,-1,7.317687988,4.194580078,0,0.95300293,336,29.5,199792
Ada, reverse-complement,-1,7.251586914,4.149475098,0,0.94921875,335,27.8,199764
Ada, reverse-complement,-1,7.311401367,4.190795898,0,0.950439453,336,27.8,199772
Ada, reverse-complement,-1,7.288146973,4.170654297,0,0.95098877,336,30,200072
Ada, reverse-complement,-1,7.253540039,4.137756348,0,0.954650879,337,27.8,200020
Ada, reverse-complement,-1,7.275695801,4.170959473,0,0.950134277,336,27.8,199852
Ada, spectral-norm,-1,31.97113037,25.44140625,0,1.647460938,682,27.5,5040
Ada, spectral-norm,-1,32.16558838,25.61932373,0,1.644897461,681,34.2,5248
Ada, spectral-norm,-1,31.97753906,25.45379639,0,1.647338867,681,27.2,5244
Ada, spectral-norm,-1,32.06561279,25.53509521,0,1.647399902,681,35,5464
Ada, spectral-norm,-1,31.9487915,25.42272949,0,1.647277832,681,27.8,5248
Ada, spectral-norm,-1,32.05236816,25.51269531,0,1.644958496,681,34.2,5148
Ada, spectral-norm,-1,32.16125488,25.4786377,0,1.686096191,697,27.8,5476
Ada, spectral-norm,-1,31.97888184,25.47851563,0,1.647338867,681,34.5,5200
Ada, spectral-norm,-1,32.05639648,25.51098633,0,1.647399902,681,27.2,5456
Ada, spectral-norm,-1,32.14697266,25.6005249,0,1.647521973,681,34.2,5448
Ada, spectral-norm,-1,31.98608398,25.46380615,0,1.645019531,681,27.5,5252
Ada, spectral-norm,-1,32.07861328,25.54516602,0,1.649719238,682,35.2,5184
Ada, spectral-norm,-1,32.00640869,25.46435547,0,1.649841309,682,27.8,5200
Ada, spectral-norm,-1,32.15338135,25.60717773,0,1.647338867,681,34.5,5248
Ada, spectral-norm,-1,32.17797852,25.50402832,0,1.681335449,695,27.8,5244
Ada, spectral-norm,-1,32.00378418,25.48779297,0,1.647460938,681,34.8,5464
Ada, spectral-norm,-1,32.58410645,25.61383057,0.000915527,1.756408691,726,27.8,5372
Ada, spectral-norm,-1,32.0112915,25.46636963,0,1.657104492,685,34.2,5256
Ada, spectral-norm,-1,32.29467773,25.53631592,0,1.703063965,705,27.5,5240
Ada, spectral-norm,-1,32.11022949,25.5512085,0,1.649963379,681,34.5,5048
C, binary-trees,-1,41.44335938,31.62194824,0,3.461303711,1025,32,134388
C, binary-trees,-1,41.68713379,31.68597412,0,3.676391602,1040,31.8,134376
C, binary-trees,-1,41.20947266,31.41986084,0,3.456420898,1028,32.5,134388
C, binary-trees,-1,41.54449463,31.64648438,0,3.521911621,1032,32.2,134500
C, binary-trees,-1,41.15429688,31.34191895,0,3.489013672,1028,32,134504
C, binary-trees,-1,41.46075439,31.57275391,0,3.518188477,1034,31.8,134388
C, binary-trees,-1,41.40649414,31.58129883,0.000915527,3.47833252,1029,32.2,134500
C, binary-trees,-1,41.19451904,31.43579102,0,3.468200684,1024,32,134376
C, binary-trees,-1,41.44830322,31.57440186,0,3.516540527,1031,31.8,134552
C, binary-trees,-1,41.23962402,31.38665771,0,3.527709961,1034,31.2,134492
C, binary-trees,-1,41.82745361,31.98101807,0,3.49609375,1028,32,134432
C, binary-trees,-1,41.45007324,31.60638428,0,3.504699707,1028,32,134500
C, binary-trees,-1,41.91461182,31.90948486,0,3.659606934,1039,32,134496
C, binary-trees,-1,41.3260498,31.52197266,0,3.47869873,1026,32,134436
C, binary-trees,-1,41.36218262,31.5480957,0,3.466552734,1025,31.5,134512
C, binary-trees,-1,41.33703613,31.51568604,0,3.459899902,1025,31.8,134528
C, binary-trees,-1,41.55682373,31.64916992,0,3.542663574,1033,32,134452
C, binary-trees,-1,41.3482666,31.53125,0.000915527,3.448669434,1025,31.8,134412
C, binary-trees,-1,41.54022217,31.61175537,0,3.543212891,1036,32.2,134476
C, binary-trees,-1,41.41320801,31.49975586,0,3.57208252,1037,32.2,134416
C, fannkuch-redux,-1,79.58001709,61.00653076,0,5.109680176,2114,34,1864
C, fannkuch-redux,-1,79.65881348,61.04956055,0,5.11920166,2118,33,1788
C, fannkuch-redux,-1,79.55078125,60.98840332,0,5.107177734,2113,33,1888
C, fannkuch-redux,-1,79.55578613,60.99969482,0,5.104675293,2113,33.2,1760
C, fannkuch-redux,-1,79.59637451,61.03198242,0,5.107177734,2113,33.8,1876
C, fannkuch-redux,-1,79.62591553,61.04821777,0,5.107116699,2114,33.8,1840
C, fannkuch-redux,-1,79.53948975,60.97436523,0,5.10723877,2113,33.8,1732
C, fannkuch-redux,-1,79.73297119,61.10845947,0,5.124084473,2120,33.5,1716
C, fannkuch-redux,-1,79.60162354,61.00964355,0,5.114379883,2116,33.8,1852
C, fannkuch-redux,-1,79.66705322,61.07818604,0,5.107116699,2113,33.5,1780
C, fannkuch-redux,-1,79.57421875,61.00256348,0,5.109558105,2114,33.8,1784
C, fannkuch-redux,-1,79.56115723,60.99139404,0,5.109558105,2114,32.8,1716
C, fannkuch-redux,-1,79.52911377,60.97570801,0,5.104614258,2113,32.8,1872
C, fannkuch-redux,-1,79.59539795,61.02258301,0,5.104675293,2113,33.2,1896
C, fannkuch-redux,-1,79.63256836,61.04516602,0,5.114501953,2116,33,1856
C, fannkuch-redux,-1,79.80609131,61.1595459,0,5.116760254,2117,33.2,1876
C, fannkuch-redux,-1,79.62316895,61.02709961,0,5.116821289,2117,33.2,1896
C, fannkuch-redux,-1,79.61169434,61.02868652,0,5.107177734,2114,33.5,1756
C, fannkuch-redux,-1,79.65808105,61.05627441,0,5.116943359,2117,33.8,1864
C, fannkuch-redux,-1,79.59857178,61.02435303,0,5.10949707,2115,33.5,1868
C, fasta,-1,12.13952637,5.590087891,0,1.765808105,729,27.5,1424
C, fasta,-1,12.35443115,5.697875977,0,1.765625,730,29.5,1516
C, fasta,-1,12.07080078,5.537902832,0,1.763061523,729,27.8,1516
C, fasta,-1,12.41717529,5.726989746,0,1.765563965,730,29.5,1388
C, fasta,-1,12.21154785,5.605041504,0,1.767883301,731,27.8,1500
C, fasta,-1,12.30206299,5.66998291,0,1.763061523,729,29.2,1560
C, fasta,-1,12.20800781,5.606933594,0,1.765380859,730,27.8,1404
C, fasta,-1,12.05664063,5.53326416,0,1.763061523,729,29.8,1440
C, fasta,-1,12.19775391,5.601806641,0,1.763000488,730,27.5,1556
C, fasta,-1,12.17694092,5.611755371,0,1.763061523,729,29.8,1404
C, fasta,-1,12.07733154,5.528259277,0,1.76550293,730,27.8,1460
C, fasta,-1,12.08270264,5.541748047,0,1.763122559,729,30.5,1556
C, fasta,-1,12.11297607,5.553100586,0,1.763061523,729,27.8,1396
C, fasta,-1,12.33239746,5.701843262,0,1.765563965,730,29.5,1440
C, fasta,-1,12.08532715,5.560913086,0,1.763000488,730,27.5,1420
C, fasta,-1,12.24060059,5.635803223,0,1.765625,729,29,1400
C, fasta,-1,12.25671387,5.638793945,0,1.760620117,729,27.2,1500
C, fasta,-1,12.2322998,5.64654541,0,1.765380859,730,29.2,1400
C, fasta,-1,12.30438232,5.677368164,0,1.763000488,730,27.8,1412
C, fasta,-1,12.0657959,5.55645752,0,1.763061523,729,29.5,1408
C, k-nucleotide,-1,115.1882935,86.09521484,0,8.92779541,3129,31.8,130096
C, k-nucleotide,-1,115.5836792,85.95928955,0,9.103759766,3172,32.8,130040
C, k-nucleotide,-1,118.5102539,87.41595459,0,10.02703857,3324,32.8,129980
C, k-nucleotide,-1,116.2316895,86.30059814,0,9.306518555,3211,32,129960
C, k-nucleotide,-1,116.1131592,86.12994385,0,9.258544922,3214,32.8,129956
C, k-nucleotide,-1,114.3349609,85.2243042,0,8.892456055,3130,32,129968
C, k-nucleotide,-1,114.840332,85.56268311,0,8.946594238,3141,32.2,130260
C, k-nucleotide,-1,113.1153564,84.35351563,0,8.619384766,3085,32.8,130268
C, k-nucleotide,-1,113.3925781,84.33087158,0,8.783447266,3110,32.8,129908
C, k-nucleotide,-1,111.9359741,83.79394531,0,8.406005859,3026,32,130040
C, k-nucleotide,-1,115.0973511,85.64080811,0,9.111633301,3155,32,129944
C, k-nucleotide,-1,113.0584106,84.11340332,0,8.841308594,3114,31.5,129880
C, k-nucleotide,-1,111.9101563,84.2545166,0,8.220397949,2976,32,130196
C, k-nucleotide,-1,115.8640137,85.85357666,0,9.340332031,3213,32.8,129968
C, k-nucleotide,-1,114.4207153,85.37957764,0,8.885742188,3113,32,130212
C, k-nucleotide,-1,116.3912964,86.0401001,0,9.477722168,3244,32.2,129956
C, k-nucleotide,-1,116.5938721,86.21795654,0,9.522216797,3256,32,129932
C, k-nucleotide,-1,111.4110107,83.41668701,0,8.338317871,3004,32.2,129908
